"ID","TYPE","OCCURRED","PROCESSED","OFFSET","NAMED_USER_ID","ANDROID_CHANNEL","IOS_CHANNEL","AMAZON_CHANNEL"
"03067403-7169-c2e6-96dc-0c56ef078582","FIRST_OPEN","2016-06-08T15:38:13.441Z","2016-06-08T15:38:13.523Z","0","","3296ff66-9477-8a40-5f94-4767448e8e63","",""
"6d42c409-3ccc-c4d6-a7d8-ebe7fc656dea","FIRST_OPEN","2016-06-08T15:39:18.687Z","2016-06-08T15:39:20.077Z","0","","bb1efe77-8e1a-5a20-627e-c95439ceea1b","",""
"8287db4d-98ea-6dd5-7ebd-068d6d067a35","FIRST_OPEN","2016-06-08T15:42:35.716Z","2016-06-08T15:42:36.297Z","0","","","e4ed4731-d7db-05cd-5971-69c6c4fd3497",""
"7667a6dc-cca1-16ac-6503-7476eca7d0f4","FIRST_OPEN","2016-06-08T15:43:36.177Z","2016-06-08T15:43:35.726Z","0","","7ff29d8c-40cf-5b35-bd00-af11e41f9b29","",""
"22f94f78-a092-4b65-1930-dd0e8a5ee5e9","FIRST_OPEN","2016-06-08T15:45:00.863Z","2016-06-08T15:44:59.980Z","0","","b1f17f6c-d603-d3d9-80cc-7332f36d694d","",""
"c31a3075-727a-abf0-000a-3a9a9aa948b1","FIRST_OPEN","2016-06-08T15:45:23.899Z","2016-06-08T15:45:23.454Z","0","","13b1ddd8-042d-5df7-d7b0-b212926a94ff","",""
"8360968f-51df-275b-68a2-5e8b12a2afe9","FIRST_OPEN","2016-06-08T15:46:11.917Z","2016-06-08T15:46:11.359Z","0","","85fd81ec-03cd-28b9-8e35-d244d84e9c84","",""
"6b0113c9-d1bc-a7c0-a0ee-82c7693dc731","FIRST_OPEN","2016-06-08T15:46:17.487Z","2016-06-08T15:46:17.537Z","0","","","8fef9a97-5aa4-2b35-9c51-059480d5396d",""
"9e77e065-ecde-747e-05ae-883ec6f561c8","FIRST_OPEN","2016-06-08T15:47:35.012Z","2016-06-08T15:47:34.625Z","0","cbe40ad0-5638-a2b4-a3ad-f53d7ec4eb3b","","805240b5-f353-5b5a-df0c-7a4c5a2d5eec",""
"7cbc632d-8c84-78f3-c823-9190cf23c39f","FIRST_OPEN","2016-06-08T15:47:59.105Z","2016-06-08T15:47:57.840Z","0","","26f88e25-5189-7d5d-313e-841d7e066dff","",""
"3c7a3e6d-924b-577e-8c35-93c827248807","FIRST_OPEN","2016-06-08T15:48:29.678Z","2016-06-08T15:48:28.193Z","0","","","","25847fd2-3763-d92e-4274-ed847c95f600"
"dba8f168-8cba-a7fe-3aed-29bc03cdd0b2","FIRST_OPEN","2016-06-08T15:48:58.208Z","2016-06-08T15:48:59.134Z","0","85265fdd-86c1-3afd-d525-72a047f1dc8b","","","ff84edab-0fe9-a87a-21d3-2cc879738f88"
"88dde672-74d2-b76b-6882-83ba7208ae68","FIRST_OPEN","2016-06-08T15:49:21.832Z","2016-06-08T15:49:22.758Z","0","","","","002ee01c-f49d-01fd-356a-8c173c57b185"
"39950f96-0577-dc78-9d0f-f4490b124549","FIRST_OPEN","2016-06-08T15:49:28.121Z","2016-06-08T15:49:28.345Z","0","","58a6607b-cb7a-d127-71ac-1d9f5e995b77","",""
"6a21654e-4c78-d498-760c-d53a044db809","FIRST_OPEN","2016-06-08T15:49:52.530Z","2016-06-08T15:49:51.840Z","0","","cb937db1-9b13-9d71-b52e-96c6a0c5318f","",""
"6ba6455e-a375-5834-526a-c5c2e82bf7a2","FIRST_OPEN","2016-06-08T15:50:22.321Z","2016-06-08T15:50:21.986Z","0","","","93699e2c-19a2-3b18-6d45-979046fee358",""
"48665552-29ee-77a4-597c-deb55160c631","FIRST_OPEN","2016-06-08T15:51:52.726Z","2016-06-08T15:51:51.719Z","0","","","","68d90229-2e5e-71dc-e8f6-6e876fc97189"
"d6096c26-1682-aaa8-4aee-891d5a500010","FIRST_OPEN","2016-06-08T15:52:10.995Z","2016-06-08T15:52:09.519Z","0","","","","732e0925-101e-e028-7ee0-a68d8616af60"
"394db367-bfb6-fd81-b005-033c05b95eca","FIRST_OPEN","2016-06-08T15:53:35.413Z","2016-06-08T15:53:33.064Z","0","","","a456a782-a27f-698d-9fe7-13e3336b31a3",""
"3a2ddd3f-24ab-a6e4-c343-5e27ebde892c","FIRST_OPEN","2016-06-08T15:55:50.861Z","2016-06-08T15:55:52.369Z","0","","e91a2df8-8307-650b-221d-c9520cbe892e","",""
"c1ada69a-016b-82ef-6cc2-0a9bc619c6d3","FIRST_OPEN","2016-06-08T15:58:16.710Z","2016-06-08T15:58:16.581Z","0","","","","1ab32e8e-3929-19ba-e597-1d0e1a48e628"
